"","lhs","op","rhs","est.std","se","z","pvalue","ci.lower","ci.upper"
"328","ANXDEP6","~~","ANXDEP6",0.333,0.016,20.408,0,0.301,0.365
"329","ANXDEP7","~~","ANXDEP7",0.353,0.016,22.404,0,0.322,0.384
"330","ANXDEP8","~~","ANXDEP8",0.355,0.014,25.332,0,0.327,0.382
"331","ANXDEP9","~~","ANXDEP9",0.427,0.013,32.403,0,0.401,0.452
"332","ANXDEP10","~~","ANXDEP10",0.523,0.021,24.928,0,0.482,0.564
"333","ANXDEP11","~~","ANXDEP11",0.526,0.013,41.86,0,0.502,0.551
"334","ANXDEP12","~~","ANXDEP12",0.441,0.032,13.72,0,0.378,0.504
"335","ANXDEP13","~~","ANXDEP13",0.491,0.012,40.807,0,0.468,0.515
"336","WITHDEP1","~~","WITHDEP1",0.412,0.021,19.822,0,0.372,0.453
"337","WITHDEP2","~~","WITHDEP2",0.613,0.015,40.55,0,0.583,0.642
"338","WITHDEP3","~~","WITHDEP3",0.505,0.019,25.967,0,0.467,0.543
"339","WITHDEP4","~~","WITHDEP4",0.48,0.017,27.889,0,0.446,0.514
"340","WITHDEP5","~~","WITHDEP5",0.738,0.013,55.587,0,0.712,0.764
"341","WITHDEP6","~~","WITHDEP6",0.52,0.022,23.874,0,0.477,0.563
"342","WITHDEP7","~~","WITHDEP7",0.27,0.018,14.612,0,0.234,0.306
"343","WITHDEP8","~~","WITHDEP8",0.396,0.021,19.249,0,0.356,0.437
"344","SOMATIC1","~~","SOMATIC1",0.453,0.024,18.8,0,0.406,0.5
"345","SOMATIC2","~~","SOMATIC2",0.706,0.021,33.861,0,0.665,0.747
